AP,Arbeitspakete,
API,Application Programming Interface,
CRUD,Create Read Update Delete,
DNS,Domain Name System,
DRF,Django REST Framework,
DTL,Django Template Language,
DSGVO,Datenschutz-Grundverordnung,
E2E,End-to-End,
HTTP,Hypertext Transfer Protocol,
HMI,Human Machine Interface,
JS,JavaScript,
JSON,JavaScript Object Notation,
JWT,JSON Web Token,
LDAP,Lightweight Directory Access Protocol,
MVC,Model-View-Controller,
MVT,Model-View-Template,
OAuth,Open Authorization,
OOP,Objektorientrierte Programmierung,
ORM,Object-Relational Mapping,
OWASP,Open Web Application Security Project,
PaaS,Platform-as-a-Service,
QES, Qualifizierte Elektronische Signatur
REST,Representational State Transfer,
SQL,Structured Query Language,
SQLi,SQL-Injection,
TS,TypeScript,
URI,Uniform Resource Identifiers,
URL,Uniform Resource Locator,
WBS,Work Breakdown Structure,
XP,Extreme Programming,
XML,Extensible Markup Language,
XSS,Cross-Site-Scripting,